experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg,params_dict,lr_C,lr_max_iter,rf_n_estimators,rf_max_depth,mlp_hidden_total,mlp_hidden_layers,mlp_max_iter,complexity_score,baseline_auc,delta_auc,EAUG
96,titanic,515995,0.5149043654656227,367,5,mlp,"{'hidden_layer_sizes': (91,), 'max_iter': 139, 'activation': 'relu', 'solver': 'adam'}",0.1498844623565673,0.831060606060606,3.22243632660378e-06,"{'hidden_layer_sizes': (91,), 'max_iter': 139, 'activation': 'relu', 'solver': 'adam'}",,,,,91.0,1.0,139.0,455.0,0.7561269658718485,0.07493364018875759,23253.722523582754
97,titanic,736013,0.8809053014577648,628,5,mlp,"{'hidden_layer_sizes': (168, 70, 198), 'max_iter': 126, 'activation': 'relu', 'solver': 'adam'}",0.8523228168487549,0.7739869281045751,1.8934987822571695e-05,"{'hidden_layer_sizes': (168, 70, 198), 'max_iter': 126, 'activation': 'relu', 'solver': 'adam'}",,,,,436.0,3.0,126.0,26460.0,0.7561269658718485,0.01785996223272668,943.2254406541779
98,titanic,889116,0.3995100606657695,285,5,mlp,"{'hidden_layer_sizes': (112, 18, 104), 'max_iter': 77, 'activation': 'relu', 'solver': 'adam'}",0.1669907569885254,0.6751918158567775,3.813492263319697e-06,"{'hidden_layer_sizes': (112, 18, 104), 'max_iter': 77, 'activation': 'relu', 'solver': 'adam'}",,,,,234.0,3.0,77.0,4448.0,0.7561269658718485,0.0,0.0
99,titanic,948840,0.2394032959420752,170,5,mlp,"{'hidden_layer_sizes': (132,), 'max_iter': 136, 'activation': 'relu', 'solver': 'adam'}",0.099452257156372,0.8071428571428572,2.185778720562368e-06,"{'hidden_layer_sizes': (132,), 'max_iter': 136, 'activation': 'relu', 'solver': 'adam'}",,,,,132.0,1.0,136.0,660.0,0.7561269658718485,0.051015891271008695,23339.915788860402
100,titanic,523752,0.2813375223229728,200,5,mlp,"{'hidden_layer_sizes': (11, 81), 'max_iter': 189, 'activation': 'relu', 'solver': 'adam'}",0.1768875122070312,0.7161458333333333,3.819377006302822e-06,"{'hidden_layer_sizes': (11, 81), 'max_iter': 189, 'activation': 'relu', 'solver': 'adam'}",,,,,92.0,2.0,189.0,946.0,0.7561269658718485,0.0,0.0
101,titanic,51961,0.9398734952144496,671,5,mlp,"{'hidden_layer_sizes': (169,), 'max_iter': 66, 'activation': 'relu', 'solver': 'adam'}",0.165654182434082,0.7786363636363637,3.7491971841372e-06,"{'hidden_layer_sizes': (169,), 'max_iter': 66, 'activation': 'relu', 'solver': 'adam'}",,,,,169.0,1.0,66.0,845.0,0.7561269658718485,0.022509397764515215,6003.791387594165
102,titanic,902653,0.9836565444692742,702,5,mlp,"{'hidden_layer_sizes': (28, 169, 171), 'max_iter': 170, 'activation': 'relu', 'solver': 'adam'}",1.1771221160888672,0.643796992481203,2.644651145774891e-05,"{'hidden_layer_sizes': (28, 169, 171), 'max_iter': 170, 'activation': 'relu', 'solver': 'adam'}",,,,,368.0,3.0,170.0,33771.0,0.7561269658718485,0.0,0.0
103,titanic,779477,0.7139866207964383,509,5,mlp,"{'hidden_layer_sizes': (163,), 'max_iter': 137, 'activation': 'relu', 'solver': 'adam'}",0.2542893886566162,0.7804878048780488,5.6750609153435725e-06,"{'hidden_layer_sizes': (163,), 'max_iter': 137, 'activation': 'relu', 'solver': 'adam'}",,,,,163.0,1.0,137.0,815.0,0.7561269658718485,0.02436083900620034,4292.612778893055
104,titanic,826054,0.6113782961523315,436,5,mlp,"{'hidden_layer_sizes': (158, 151), 'max_iter': 70, 'activation': 'relu', 'solver': 'adam'}",0.3037705421447754,0.7598824786324786,6.8360890123331084e-06,"{'hidden_layer_sizes': (158, 151), 'max_iter': 70, 'activation': 'relu', 'solver': 'adam'}",,,,,309.0,2.0,70.0,24648.0,0.7561269658718485,0.003755512760630131,549.3656905073565
105,titanic,462799,0.5080715968802828,362,5,mlp,"{'hidden_layer_sizes': (194, 173), 'max_iter': 175, 'activation': 'relu', 'solver': 'adam'}",0.7188186645507812,0.7426356589147287,1.6271383587923812e-05,"{'hidden_layer_sizes': (194, 173), 'max_iter': 175, 'activation': 'relu', 'solver': 'adam'}",,,,,367.0,2.0,175.0,34532.0,0.7561269658718485,0.0,0.0
106,titanic,139768,0.5823018192189966,415,5,mlp,"{'hidden_layer_sizes': (132, 57, 60), 'max_iter': 59, 'activation': 'relu', 'solver': 'adam'}",0.2253026962280273,0.813625450180072,4.82242855561043e-06,"{'hidden_layer_sizes': (132, 57, 60), 'max_iter': 59, 'activation': 'relu', 'solver': 'adam'}",,,,,249.0,3.0,59.0,11604.0,0.7561269658718485,0.057498484308223574,11923.138652065596
107,titanic,232569,0.4940094480921024,352,5,mlp,"{'hidden_layer_sizes': (89,), 'max_iter': 141, 'activation': 'relu', 'solver': 'adam'}",0.1516399383544922,0.6613300492610837,3.368548254012373e-06,"{'hidden_layer_sizes': (89,), 'max_iter': 141, 'activation': 'relu', 'solver': 'adam'}",,,,,89.0,1.0,141.0,445.0,0.7561269658718485,0.0,0.0
108,titanic,433896,0.7485946763647564,534,5,mlp,"{'hidden_layer_sizes': (79, 150), 'max_iter': 99, 'activation': 'relu', 'solver': 'adam'}",0.452373743057251,0.7492732558139535,1.0185377352588538e-05,"{'hidden_layer_sizes': (79, 150), 'max_iter': 99, 'activation': 'relu', 'solver': 'adam'}",,,,,229.0,2.0,99.0,12245.0,0.7561269658718485,0.0,0.0
