experiment_id,dataset_name,seed,data_fraction,n_samples,n_features,model_family,params,train_time_s,roc_auc,emissions_kg
152,penguins_adelie,183533,0.984021743643354,336,4,log_reg,"{'C': 0.023274696326813445, 'max_iter': 662, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.020377397537231445,0.993859649122807,2.778214484296804e-07
153,penguins_adelie,784080,0.7091266736862216,242,4,log_reg,"{'C': 0.6827199124678738, 'max_iter': 526, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0038547515869140625,1.0,1.2135721845256554e-07
154,penguins_adelie,145130,0.9568195628464762,327,4,log_reg,"{'C': 1.9482855067598936, 'max_iter': 468, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.007029533386230469,0.9990680335507922,2.485874493417466e-07
155,penguins_adelie,578017,0.7598207556712528,259,4,log_reg,"{'C': 0.16046138264427448, 'max_iter': 451, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,0.9925037481259371,1.2190525674841892e-07
156,penguins_adelie,940594,0.3187511919360464,109,4,log_reg,"{'C': 3.953052853065067, 'max_iter': 466, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0,1.0,1.1841583985756348e-07
157,penguins_adelie,404034,0.5793349835860946,198,4,log_reg,"{'C': 1.0799681653073618, 'max_iter': 615, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.004709482192993164,1.0,1.2606494598668456e-07
158,penguins_adelie,134094,0.42246043662500593,144,4,log_reg,"{'C': 0.029982656192937013, 'max_iter': 785, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.0036728382110595703,0.9759615384615384,1.208368722014622e-07
159,penguins_adelie,427903,0.6887900376293026,235,4,log_reg,"{'C': 0.1655077806229325, 'max_iter': 569, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.009174346923828125,0.9981684981684981,2.0343155697570296e-07
160,penguins_adelie,411810,0.5270264875429578,180,4,log_reg,"{'C': 3.455544337292276, 'max_iter': 783, 'solver': 'lbfgs', 'multi_class': 'auto'}",0.01452493667602539,1.0,2.9002659041907117e-07
161,penguins_adelie,949142,0.4536327290537903,155,4,random_forest,"{'n_estimators': 424, 'max_depth': 6, 'n_jobs': -1}",0.473649263381958,0.9915966386554621,1.0490237887785076e-05
162,penguins_adelie,36059,0.5347200353254884,182,4,random_forest,"{'n_estimators': 302, 'max_depth': 19, 'n_jobs': -1}",0.35396289825439453,0.9970238095238095,7.821503286037293e-06
163,penguins_adelie,147924,0.6579663464976926,225,4,random_forest,"{'n_estimators': 249, 'max_depth': 11, 'n_jobs': -1}",0.2941722869873047,1.0,6.647071224637574e-06
164,penguins_adelie,565771,0.7616017448882972,260,4,random_forest,"{'n_estimators': 128, 'max_depth': 9, 'n_jobs': -1}",0.16068243980407715,0.9955022488755623,3.644444268960094e-06
165,penguins_adelie,587150,0.4529713214592345,154,4,random_forest,"{'n_estimators': 283, 'max_depth': 14, 'n_jobs': -1}",0.30079054832458496,1.0,6.758250780251261e-06
166,penguins_adelie,787432,0.6393155068797436,218,4,random_forest,"{'n_estimators': 333, 'max_depth': 7, 'n_jobs': -1}",0.3732912540435791,1.0,8.098688476928582e-06
167,penguins_adelie,529663,0.48852586756020344,167,4,random_forest,"{'n_estimators': 114, 'max_depth': 10, 'n_jobs': -1}",0.14516949653625488,1.0,3.3511868179421557e-06
168,penguins_adelie,512739,0.7893645507857763,269,4,random_forest,"{'n_estimators': 321, 'max_depth': 20, 'n_jobs': -1}",0.35757970809936523,1.0,8.05611387387034e-06
169,penguins_adelie,128267,0.6029063401464794,206,4,random_forest,"{'n_estimators': 288, 'max_depth': 18, 'n_jobs': -1}",0.3744051456451416,0.9931350114416476,8.401813185326294e-06
170,penguins_adelie,520275,0.8398963286110692,287,4,random_forest,"{'n_estimators': 463, 'max_depth': 16, 'n_jobs': -1}",0.5406413078308105,0.998798076923077,1.2177743097789027e-05
171,penguins_adelie,519291,0.5953133172139388,203,4,random_forest,"{'n_estimators': 138, 'max_depth': 8, 'n_jobs': -1}",0.16847705841064453,0.9420289855072463,3.827391312313099e-06
172,penguins_adelie,115856,0.25764731765835497,88,4,random_forest,"{'n_estimators': 422, 'max_depth': 3, 'n_jobs': -1}",0.44162511825561523,1.0,9.992977123969572e-06
173,penguins_adelie,821886,0.42448914890692474,145,4,random_forest,"{'n_estimators': 437, 'max_depth': 18, 'n_jobs': -1}",0.46292757987976074,1.0,1.0391154664333574e-05
174,penguins_adelie,334130,0.33839555615327505,115,4,random_forest,"{'n_estimators': 46, 'max_depth': 13, 'n_jobs': -1}",0.0672907829284668,0.9846153846153847,1.5666129552755608e-06
175,penguins_adelie,66540,0.21174627484805664,72,4,random_forest,"{'n_estimators': 371, 'max_depth': 8, 'n_jobs': -1}",0.3971571922302246,1.0,8.695214532433702e-06
176,penguins_adelie,827173,0.8852384188596465,302,4,random_forest,"{'n_estimators': 377, 'max_depth': 10, 'n_jobs': -1}",0.4180924892425537,0.9978213507625272,9.266683380585782e-06
177,penguins_adelie,709175,0.6806723263560648,232,4,random_forest,"{'n_estimators': 219, 'max_depth': 9, 'n_jobs': -1}",0.25659966468811035,1.0,5.6107637411377735e-06
178,penguins_adelie,119672,0.491935488862602,168,4,random_forest,"{'n_estimators': 93, 'max_depth': 15, 'n_jobs': -1}",0.12821412086486816,1.0,2.8059895188329656e-06
179,penguins_adelie,76610,0.8176839130836686,279,4,random_forest,"{'n_estimators': 261, 'max_depth': 20, 'n_jobs': -1}",0.2991907596588135,0.9987096774193549,6.7869956526490605e-06
180,penguins_adelie,310961,0.7501320393328741,256,4,random_forest,"{'n_estimators': 498, 'max_depth': 10, 'n_jobs': -1}",0.5724108219146729,1.0,1.274973405691355e-05
181,penguins_adelie,753077,0.7127109076689275,243,4,random_forest,"{'n_estimators': 89, 'max_depth': 15, 'n_jobs': -1}",0.11753439903259277,1.0,2.5834568741980896e-06
182,penguins_adelie,10727,0.3672461268817932,125,4,random_forest,"{'n_estimators': 206, 'max_depth': 9, 'n_jobs': -1}",0.23478913307189941,1.0,5.2663770287029655e-06
183,penguins_adelie,466726,0.3327254943012269,113,4,random_forest,"{'n_estimators': 383, 'max_depth': 12, 'n_jobs': -1}",0.41225671768188477,0.9923076923076923,9.348565575601403e-06
184,penguins_adelie,836304,0.9913064021468845,339,4,random_forest,"{'n_estimators': 98, 'max_depth': 10, 'n_jobs': -1}",0.14791512489318848,0.9925438596491227,3.098884125107719e-06
185,penguins_adelie,200480,0.9922573314610181,339,4,random_forest,"{'n_estimators': 480, 'max_depth': 13, 'n_jobs': -1}",0.544379472732544,1.0,1.2011533515508853e-05
186,penguins_adelie,141595,0.5585964906034808,191,4,random_forest,"{'n_estimators': 423, 'max_depth': 14, 'n_jobs': -1}",0.46961307525634766,1.0,1.0620504704610517e-05
187,penguins_adelie,328592,0.8042641382357956,275,4,random_forest,"{'n_estimators': 425, 'max_depth': 10, 'n_jobs': -1}",0.4714047908782959,1.0,1.0553689931517677e-05
188,penguins_adelie,433779,0.575461547352321,196,4,random_forest,"{'n_estimators': 58, 'max_depth': 3, 'n_jobs': -1}",0.08496713638305664,1.0,1.946617943155991e-06
189,penguins_adelie,306344,0.925682897724972,316,4,random_forest,"{'n_estimators': 462, 'max_depth': 5, 'n_jobs': -1}",0.5380711555480957,0.996031746031746,1.1962049728909203e-05
190,penguins_adelie,44649,0.386281827954965,132,4,random_forest,"{'n_estimators': 107, 'max_depth': 19, 'n_jobs': -1}",0.13385295867919922,1.0,2.7991449091432415e-06
191,penguins_adelie,194387,0.6691561384118367,228,4,random_forest,"{'n_estimators': 112, 'max_depth': 8, 'n_jobs': -1}",0.14966893196105957,1.0,3.121851632926936e-06
192,penguins_adelie,493289,0.2672922676455056,91,4,random_forest,"{'n_estimators': 255, 'max_depth': 16, 'n_jobs': -1}",0.2849433422088623,1.0,6.3695197321664925e-06
193,penguins_adelie,840579,0.7100709603827673,242,4,random_forest,"{'n_estimators': 149, 'max_depth': 7, 'n_jobs': -1}",0.17995166778564453,1.0,3.888169026512289e-06
194,penguins_adelie,649149,0.736162604281084,251,4,random_forest,"{'n_estimators': 425, 'max_depth': 13, 'n_jobs': -1}",0.46760082244873047,1.0,1.0458495852556e-05
195,penguins_adelie,613830,0.4932867079460899,168,4,random_forest,"{'n_estimators': 402, 'max_depth': 16, 'n_jobs': -1}",0.44113969802856445,1.0,9.884782450743858e-06
196,penguins_adelie,539527,0.4707651866378608,161,4,random_forest,"{'n_estimators': 47, 'max_depth': 16, 'n_jobs': -1}",0.08446574211120605,1.0,1.6739024079650589e-06
